en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
Albanian lek,阿尔巴尼亚列克,阿爾巴尼亞列克,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Algerian dinar,阿尔及利亚第纳尔,阿爾及利亞第納爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Algiers,阿尔及尔,阿爾及爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
algorithm,算法,演算法,noun,,,,,,,,,,,,,,,,,,,,,,
Almaty,阿拉木图,阿馬提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
alphabet,字母,字母,noun,,,,,,,,,,,,,,,,,,,,,,
alphanumeric,字母数字,英數字元,noun,,,,,,,,,,,,,,,,,,,,,,
alphanumeric character,字母数字字符,英數字元,noun,,,,,,,,,,,,,,,,,,,,,,
alt text,替代文本,替代文字,noun,,,,,,,,,,,,,,,,,,,,,,
alternate text,替代文本,替代文字,noun,,,,,,,,,,,,,,,,,,,,,,
alternate URL,备用网址,替代網址,noun,,,,,,,,,,,,,,,,,,,,,,
America,美国,美洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Amharic,阿姆哈拉语,阿姆哈拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Amman,安曼,安曼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
ampersand,与号,and 符號,noun,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,阿姆斯特丹,阿姆斯特丹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Anadyr,阿纳德尔,阿納底,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
anchor,锚点,錨點,noun,,,,,,,,,,,,,,,,,,,,,,
Anchorage,安克雷奇,安克拉治,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Andorra,安道尔,安道爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Android,Android,Android,noun,操作系统名称,,,,,,,,,,,,,,,,,,,,,
Angolan kwanza,安哥拉宽扎,安哥拉寬扎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Anguilla,安圭拉,安圭拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
annotation,注解,註解,noun,,,,,,,,,,,,,,,,,,,,,,
Antananarivo,塔那那利佛,安塔那那利佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antarctica,南极洲,南極洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antigua,安提瓜,安地卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Apache,Apache,Apache,noun,网页服务器名称,,,,,,,,,,,,,,,,,,,,,
Apia,阿皮亚,亞庇,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
apostrophe,撇号,單引號,noun,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple,Apple,noun,,,,,,,,,,,,,,,,,,,,,,
Apple Music,Apple Music,Apple Music,noun,在线影音流媒体服务名称,,,,,,,,,,,,,,,,,,,,,
Application Pool,应用程序池,應用程式集區,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
apply,申请,套用,verb,,,,,,,,,,,,,,,,,,,,,,
approve,批准,核准,verb,,,,,,,,,,,,,,,,,,,,,,
Aqtau,阿克陶,阿克陶,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aqtobe,阿克托贝,阿克托比,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Arabic,阿拉伯语,阿拉伯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Aragonese,阿拉贡语,亞拉岡文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Araguaina,阿拉瓜纳,阿拉瓜伊納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
archive,存档,彙整,noun,,,,,,,,,,,,,,,,,,,,,,
archive,存档页面,彙整頁面,noun,,,,,,,,,,,,,,,,,,,,,,
archive,压缩存档,壓縮檔,noun,,,,,,,,,,,,,,,,,,,,,,
Arctic,北极,北極,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Are you sure,确定要继续操作吗,確定要繼續操作嗎,noun,,,,,,,,,,,,,,,,,,,,,,
area,区域,區域,noun,,,,,,,,,,,,,,,,,,,,,,
Argentina,阿根廷,阿根廷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Argentine peso,阿根廷比绍,阿根廷披索,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
argument,参数,引數,noun,,,,,,,,,,,,,,,,,,,,,,
Armenian,亚美尼亚语,亞美尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Armenian dram,亚美尼亚德拉姆,亞美尼亞德拉姆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
array,数组,陣列,noun,,,,,,,,,,,,,,,,,,,,,,
arrow key,方向键,方向鍵,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
arrow key,箭头键?,箭號,noun,,,,,,,,,,,,,,,,,,,,,,
Aruba,阿鲁巴,阿路巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aruban florin,阿鲁巴弗罗林,阿魯巴弗羅林,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
ASC,递增,遞增,adjective,如果是排序方式的属性值，请保留原文,,,,,,,,,,,,,,,,,,,,,
ascending,升序,升冪,adjective,,,,,,,,,,,,,,,,,,,,,,
ascending,递增,遞增,adjective,,,,,,,,,,,,,,,,,,,,,,
Ashgabat,阿什哈巴德,阿什哈巴德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ashkhabad,阿什哈巴德,阿什哈巴德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asia,亚洲,亞洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aside,日志,記事,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
Asmara,阿斯马拉,阿斯馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asmera,阿斯马拉,阿斯馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
aspect ratio,外观比例,外觀比例,noun,,,,,,,,,,,,,,,,,,,,,,
Assamese,阿萨姆语,阿薩姆文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
assemble,汇编,組譯,verb,,,,,,,,,,,,,,,,,,,,,,
assertion,判断提示,判斷提示,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
asset file,资产文件,資產檔案,noun,,,,,,,,,,,,,,,,,,,,,,
assign,指派,指派,verb,,,,,,,,,,,,,,,,,,,,,,
assignment,分配,指派,noun,,,,,,,,,,,,,,,,,,,,,,
asterisk,星号,星號,noun,即 * 这个符号,,,,,,,,,,,,,,,,,,,,,
Astrakhan,阿斯特拉罕,阿斯特拉罕,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asuncion,亚松森,亞松森,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
asynchronous,异步,非同步,adjective,,,,,,,,,,,,,,,,,,,,,,
Athens,雅典,雅典,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atikokan,阿蒂科坎,阿蒂科肯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atka,阿特卡,阿特卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atlantic,大西洋,大西洋,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
attachment,附件,附件,noun,,,,,,,,,,,,,,,,,,,,,,
attack,攻击,攻擊,verb,,,,,,,,,,,,,,,,,,,,,,
attack,攻击,攻擊,noun,,,,,,,,,,,,,,,,,,,,,,
Atyrau,阿特劳,阿特勞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Auckland,奥克兰,奧克蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Audio,音频,音訊,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
audio,音频,音訊,noun,,,,,,,,,,,,,,,,,,,,,,
audit,审计,稽核,verb,,,,,,,,,,,,,,,,,,,,,,
audit,审计,稽核,noun,,,,,,,,,,,,,,,,,,,,,,
Australia,澳大利亚,澳洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Australian dollar,澳元,澳元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
authentication,验证,驗證,noun,,,,,,,,,,,,,,,,,,,,,,
authentication code,验证码,驗證碼,noun,,,,,,,,,,,,,,,,,,,,,,
authenticator,验证器,驗證器,noun,适用于不是产生两步骤验证码的验证程序,,,,,,,,,,,,,,,,,,,,,
authenticator,验证码产生器,驗證碼產生器,noun,,,,,,,,,,,,,,,,,,,,,,
authenticator app,验证码产生器 App,驗證碼產生器 App,noun,,,,,,,,,,,,,,,,,,,,,,
author,作者,作者,noun,适用于 WordPress 默认用户角色,,,,,,,,,,,,,,,,,,,,,
author,作者,作者,noun,适用于内容作者,,,,,,,,,,,,,,,,,,,,,
author,开发者,開發者,noun,有时候 author 也会指「开发者」,,,,,,,,,,,,,,,,,,,,,
automatic install,自动安装,自動安裝,verb,,,,,,,,,,,,,,,,,,,,,,
automatic installation,自动安装,自動安裝,noun,,,,,,,,,,,,,,,,,,,,,,
Automatically Install,自动安装,自動安裝,verb,,,,,,,,,,,,,,,,,,,,,,
Automattic,Automattic,Automattic,noun,WordPress 的母公司,,,,,,,,,,,,,,,,,,,,,
Avaric,阿瓦里克,阿瓦爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
avatar,头像,個人頭像,verb,,,,,,,,,,,,,,,,,,,,,,
Avestan,阿维斯坦语,阿維斯塔文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Aymara,艾马拉语,艾馬拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,阿塞拜疆语,亞塞拜然文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Azerbaijani manat,阿塞拜疆马纳特,亞塞拜然馬納特,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Azores,亚速尔群岛,亞述群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
backend,后端,後端,noun,,,,,,,,,,,,,,,,,,,,,,
back-end,后端,後端,noun,,,,,,,,,,,,,,,,,,,,,,
background,背景,背景,noun,,,,,,,,,,,,,,,,,,,,,,
background color,背景颜色,背景色彩,noun,,,,,,,,,,,,,,,,,,,,,,
background image,背景图片,背景圖片,noun,,,,,,,,,,,,,,,,,,,,,,
background video,背景视频,背景影片,noun,,,,,,,,,,,,,,,,,,,,,,
backlink,反向链接,反向連結,noun,,,,,,,,,,,,,,,,,,,,,,
backslash,反斜杠,反斜線,noun,,,,,,,,,,,,,,,,,,,,,,
backup,备份,備份,verb,,,,,,,,,,,,,,,,,,,,,,
backup,备份,備份,noun,,,,,,,,,,,,,,,,,,,,,,
badge,徽章,徽章,noun,,,,,,,,,,,,,,,,,,,,,,
badge,名牌,名牌,noun,,,,,,,,,,,,,,,,,,,,,,
badge,识别证,識別證,noun,,,,,,,,,,,,,,,,,,,,,,
Baghdad,巴格达,巴格達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahamian dollar,巴哈马元,巴哈馬元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bahia,巴伊亚,巴伊亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahia Banderas,巴伊亚班德拉斯,班德拉斯灣,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahrain,巴林,巴林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahraini dinar,巴林第纳尔,巴林戴納,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Baku,巴库,巴庫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bamako,巴马科,巴馬科,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bambara,班巴拉语,班巴拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bangkok,曼谷,曼谷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bangladeshi taka,孟加拉国塔卡,孟加拉塔卡,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bangui,班吉,班基,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Banjul,班珠尔,班竹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Barbadian dollar,巴巴多斯元,巴貝多元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Barbados,巴巴多斯,巴貝多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Barnaul,巴尔瑙尔,巴爾瑙爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
base,目录起点,目錄起點,noun,适用于网站网址结构相关内容,,,,,,,,,,,,,,,,,,,,,
Bashkir,巴什基尔语,巴什喀爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Basque,巴斯克语,巴斯克文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
bbPress,bbPress,bbPress,noun,,,,,,,,,,,,,,,,,,,,,,
bearer,持有人,持有人,noun,,,,,,,,,,,,,,,,,,,,,,
Beirut,贝鲁特,貝魯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belarusian,白俄罗斯语,白羅斯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Belarusian ruble,白俄罗斯卢布,白羅斯盧布,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Belarusian ruble (old),白俄罗斯卢布（旧）,白羅斯盧布 (舊幣),noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Belem,贝伦,貝倫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belfast,贝尔法斯特,貝爾發斯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belgrade,贝尔格莱德,貝爾格勒,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belize,伯利兹,貝里斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belize dollar,伯利兹元,貝里斯元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
benchmark,基准,效能評定,verb,,,,,,,,,,,,,,,,,,,,,,
benchmark,基准,效能評定,noun,,,,,,,,,,,,,,,,,,,,,,
Bengali,孟加拉国语,孟加拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bengali (Bangladesh),孟加拉国语（孟加拉国国）,孟加拉文 (孟加拉),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
BeReal,BeReal,BeReal,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Berlin,柏林,柏林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bermuda,百慕大,百慕達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bermudian dollar,百慕大元,百慕達元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Beulah,比尤拉,比尤拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bhutanese ngultrum,不丹努尔特鲁姆,不丹努爾特魯姆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bihari,比哈里语,比哈文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
billing,帐单,帳單,noun,,,,,,,,,,,,,,,,,,,,,,
billion,十亿,十億,noun,不要直译，该换算成本地用法就换算。举例来说，10 thousand 是 1 万 (不是 10 千)，12 million 是 1 千 2 百万 (或 1200 万，不是 12 百万)，1.4 billion 是 14 亿 (不是 1.4 十亿),,,,,,,,,,,,,,,,,,,,,
binary,二进制,二進位,noun,,,,,,,,,,,,,,,,,,,,,,
binary file,二进制文件,二進位檔案,noun,,,,,,,,,,,,,,,,,,,,,,
bind,绑定,繫結,verb,,,,,,,,,,,,,,,,,,,,,,
binding,绑定,繫結,noun,,,,,,,,,,,,,,,,,,,,,,
Bishkek,比什凯克,比斯凱克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bislama,比斯拉马语,比斯拉馬文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bissau,比绍,比索,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bitbucket,Bitbucket,Bitbucket,noun,源代码存放库服务名称,,,,,,,,,,,,,,,,,,,,,
Bitcoin,比特币,比特幣,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Black Friday,黑色星期五,黑色星期五,noun,,,,,,,,,,,,,,,,,,,,,,
black list,黑名单,封鎖清單,noun,,,,,,,,,,,,,,,,,,,,,,
blacklist,黑名单,封鎖清單,noun,,,,,,,,,,,,,,,,,,,,,,
Blanc-Sablon,布朗萨布隆,布郎薩布隆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Blantyre,布兰太尔,布藍泰爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
bloat,臃肿功能,浮濫功能,noun,,,,,,,,,,,,,,,,,,,,,,
bloatware,臃肿软件,浮濫軟體,noun,,,,,,,,,,,,,,,,,,,,,,
block editor,区块编辑器,區塊編輯器,noun,适用于区块编辑器及全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
block pattern,区块版面配置,區塊版面配置,noun,适用于区块编辑器及全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
block type,区块类型,區塊類型,noun,适用于区块编辑器及全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
blockquote,段落引用,段落引用,noun,,,,,,,,,,,,,,,,,,,,,,
Blogger,Blogger,Blogger,noun,内容发布平台名称,,,,,,,,,,,,,,,,,,,,,
Boa Vista,博阿维斯塔,博阿維斯塔島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bogota,波哥大,波哥大,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Boise,博伊西,波夕,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
bold,粗体,粗體,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
Bolivian boliviano,玻利维亚币,玻利維亞諾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
bookmarklet,书签小工具,書籤小工具,noun,,,,,,,,,,,,,,,,,,,,,,
boolean,布尔值,布林,noun,,,,,,,,,,,,,,,,,,,,,,
Bootstrap,Bootstrap,Bootstrap,noun,网站开发架构,,,,,,,,,,,,,,,,,,,,,
bootstrap,引导程序,啟動程序,noun,,,,,,,,,,,,,,,,,,,,,,
border,边界,框線,noun,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina convertible mark,波斯尼亚和黑塞哥维那可兑换马克,波士尼亞與赫塞哥維納可兌換馬克,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bosnian,波斯尼亚语,波士尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Botswana pula,博茨瓦纳普拉,波札那普拉,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bougainville,布干维尔岛,布干維爾島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bratislava,布拉迪斯拉发,布拉提斯拉瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brazilian real,巴西雷亚尔,巴西雷亞爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Brazzaville,布拉柴维尔,布拉薩市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
breadcrumb,面包屑,導覽標記,noun,,,,,,,,,,,,,,,,,,,,,,
break point,断点,中斷點,noun,适用于网页设计,,,,,,,,,,,,,,,,,,,,,
breakdown,解析,解析,noun,,,,,,,,,,,,,,,,,,,,,,
breakpoint,断点,中斷點,noun,适用于网页设计,,,,,,,,,,,,,,,,,,,,,
Breton,布列塔尼,布里敦文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Brisbane,布里斯班,布里斯本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Broken Hill,布罗肯希尔,布羅肯希爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
browse,浏览,瀏覽,verb,,,,,,,,,,,,,,,,,,,,,,
browser,浏览器,瀏覽器,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brunei,文莱,汶萊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brunei dollar,文莱元,汶萊元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Brussels,布鲁塞尔,布魯塞爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
brute force,暴力密码破解,暴力密碼破解,verb,,,,,,,,,,,,,,,,,,,,,,
brute force,暴力密码破解,暴力密碼破解,noun,,,,,,,,,,,,,,,,,,,,,,
Bucharest,布加勒斯特,布加勒斯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Budapest,布达佩斯,布達佩斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
BuddyPress,BuddyPress,BuddyPress,noun,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,布宜诺斯艾利斯,布宜諾斯艾利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
buffer,缓冲区,緩衝區,noun,,,,,,,,,,,,,,,,,,,,,,
buffer,缓冲,緩衝,noun,,,,,,,,,,,,,,,,,,,,,,
bug,代码错误,程式碼錯誤,noun,,,,,,,,,,,,,,,,,,,,,,
built-in,内置,內建,adjective,,,,,,,,,,,,,,,,,,,,,,
Bujumbura,布琼布拉,布松布拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bulgarian,保加利亚语,保加利亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bulgarian lev,保加利亚列弗,保加利亞列弗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
bulk,批量,批次,adjective,,,,,,,,,,,,,,,,,,,,,,
