en,zh-cn,pos,description,,,,,,,,,,,,,,,,,,,,,
Ashkhabad,阿什哈巴德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asia,亚洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aside,日志,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
Asmara,阿斯马拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asmera,阿斯马拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
aspect ratio,外观比例,noun,,,,,,,,,,,,,,,,,,,,,,
Assamese,阿萨姆语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
assemble,汇编,verb,,,,,,,,,,,,,,,,,,,,,,
assertion,判断提示,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
asset file,资产文件,noun,,,,,,,,,,,,,,,,,,,,,,
assign,指派,verb,,,,,,,,,,,,,,,,,,,,,,
assignment,分配,noun,,,,,,,,,,,,,,,,,,,,,,
asterisk,星号,noun,即 * 这个符号,,,,,,,,,,,,,,,,,,,,,
Astrakhan,阿斯特拉罕,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asuncion,亚松森,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
asynchronous,异步,adjective,,,,,,,,,,,,,,,,,,,,,,
Athens,雅典,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atikokan,阿蒂科坎,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atka,阿特卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atlantic,大西洋,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
attachment,附件,noun,,,,,,,,,,,,,,,,,,,,,,
attack,攻击,verb,,,,,,,,,,,,,,,,,,,,,,
attack,攻击,noun,,,,,,,,,,,,,,,,,,,,,,
Atyrau,阿特劳,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Auckland,奥克兰,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Audio,音频,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
audio,音频,noun,,,,,,,,,,,,,,,,,,,,,,
audit,审计,verb,,,,,,,,,,,,,,,,,,,,,,
audit,审计,noun,,,,,,,,,,,,,,,,,,,,,,
Australia,澳大利亚,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Australian dollar,澳元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
authentication,验证,noun,,,,,,,,,,,,,,,,,,,,,,
authentication code,验证码,noun,,,,,,,,,,,,,,,,,,,,,,
authenticator,验证器,noun,适用于不是产生两步骤验证码的验证程序,,,,,,,,,,,,,,,,,,,,,
authenticator,验证码产生器,noun,,,,,,,,,,,,,,,,,,,,,,
authenticator app,验证码产生器 App,noun,,,,,,,,,,,,,,,,,,,,,,
author,作者,noun,适用于 WordPress 默认用户角色,,,,,,,,,,,,,,,,,,,,,
author,作者,noun,适用于内容作者,,,,,,,,,,,,,,,,,,,,,
author,开发者,noun,有时候 author 也会指「开发者」,,,,,,,,,,,,,,,,,,,,,
automatic install,自动安装,verb,,,,,,,,,,,,,,,,,,,,,,
automatic installation,自动安装,noun,,,,,,,,,,,,,,,,,,,,,,
Automatically Install,自动安装,verb,,,,,,,,,,,,,,,,,,,,,,
Automattic,Automattic,noun,WordPress 的母公司,,,,,,,,,,,,,,,,,,,,,
Avaric,阿瓦里克,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
avatar,头像,verb,,,,,,,,,,,,,,,,,,,,,,
Avestan,阿维斯坦语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Aymara,艾马拉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,阿塞拜疆语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Azerbaijani manat,阿塞拜疆马纳特,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Azores,亚速尔群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
backend,后端,noun,,,,,,,,,,,,,,,,,,,,,,
back-end,后端,noun,,,,,,,,,,,,,,,,,,,,,,
background,背景,noun,,,,,,,,,,,,,,,,,,,,,,
background color,背景颜色,noun,,,,,,,,,,,,,,,,,,,,,,
background image,背景图片,noun,,,,,,,,,,,,,,,,,,,,,,
background video,背景视频,noun,,,,,,,,,,,,,,,,,,,,,,
backlink,反向链接,noun,,,,,,,,,,,,,,,,,,,,,,
backslash,反斜杠,noun,,,,,,,,,,,,,,,,,,,,,,
backup,备份,verb,,,,,,,,,,,,,,,,,,,,,,
backup,备份,noun,,,,,,,,,,,,,,,,,,,,,,
badge,徽章,noun,,,,,,,,,,,,,,,,,,,,,,
badge,名牌,noun,,,,,,,,,,,,,,,,,,,,,,
badge,识别证,noun,,,,,,,,,,,,,,,,,,,,,,
Baghdad,巴格达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahamian dollar,巴哈马元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bahia,巴伊亚,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahia Banderas,巴伊亚班德拉斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahrain,巴林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahraini dinar,巴林第纳尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Baku,巴库,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bamako,巴马科,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bambara,班巴拉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bangkok,曼谷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bangladeshi taka,孟加拉国塔卡,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bangui,班吉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Banjul,班珠尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Barbadian dollar,巴巴多斯元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Barbados,巴巴多斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Barnaul,巴尔瑙尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
base,目录起点,noun,适用于网站网址结构相关内容,,,,,,,,,,,,,,,,,,,,,
Bashkir,巴什基尔语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Basque,巴斯克语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
bbPress,bbPress,noun,,,,,,,,,,,,,,,,,,,,,,
bearer,持有人,noun,,,,,,,,,,,,,,,,,,,,,,
Beirut,贝鲁特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belarusian,白俄罗斯语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Belarusian ruble,白俄罗斯卢布,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Belarusian ruble (old),白俄罗斯卢布（旧）,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Belem,贝伦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belfast,贝尔法斯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belgrade,贝尔格莱德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belize,伯利兹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belize dollar,伯利兹元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
benchmark,基准,verb,,,,,,,,,,,,,,,,,,,,,,
benchmark,基准,noun,,,,,,,,,,,,,,,,,,,,,,
Bengali,孟加拉国语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bengali (Bangladesh),孟加拉国语（孟加拉国国）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
BeReal,BeReal,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Berlin,柏林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bermuda,百慕大,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bermudian dollar,百慕大元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Beulah,比尤拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bhutanese ngultrum,不丹努尔特鲁姆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bihari,比哈里语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
billing,帐单,noun,,,,,,,,,,,,,,,,,,,,,,
billion,十亿,noun,不要直译，该换算成本地用法就换算。举例来说，10 thousand 是 1 万 (不是 10 千)，12 million 是 1 千 2 百万 (或 1200 万，不是 12 百万)，1.4 billion 是 14 亿 (不是 1.4 十亿),,,,,,,,,,,,,,,,,,,,,
binary,二进制,noun,,,,,,,,,,,,,,,,,,,,,,
binary file,二进制文件,noun,,,,,,,,,,,,,,,,,,,,,,
bind,绑定,verb,,,,,,,,,,,,,,,,,,,,,,
binding,绑定,noun,,,,,,,,,,,,,,,,,,,,,,
Bishkek,比什凯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bislama,比斯拉马语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bissau,比绍,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bitbucket,Bitbucket,noun,源代码存放库服务名称,,,,,,,,,,,,,,,,,,,,,
Bitcoin,比特币,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Black Friday,黑色星期五,noun,,,,,,,,,,,,,,,,,,,,,,
black list,黑名单,noun,,,,,,,,,,,,,,,,,,,,,,
blacklist,黑名单,noun,,,,,,,,,,,,,,,,,,,,,,
Blanc-Sablon,布朗萨布隆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Blantyre,布兰太尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
bloat,臃肿功能,noun,,,,,,,,,,,,,,,,,,,,,,
bloatware,臃肿软件,noun,,,,,,,,,,,,,,,,,,,,,,
block editor,区块编辑器,noun,适用于区块编辑器及全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
block pattern,区块版面配置,noun,适用于区块编辑器及全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
block type,区块类型,noun,适用于区块编辑器及全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
blockquote,段落引用,noun,,,,,,,,,,,,,,,,,,,,,,
Blogger,Blogger,noun,内容发布平台名称,,,,,,,,,,,,,,,,,,,,,
Boa Vista,博阿维斯塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bogota,波哥大,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Boise,博伊西,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
bold,粗体,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
Bolivian boliviano,玻利维亚币,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
bookmarklet,书签小工具,noun,,,,,,,,,,,,,,,,,,,,,,
boolean,布尔值,noun,,,,,,,,,,,,,,,,,,,,,,
Bootstrap,Bootstrap,noun,网站开发架构,,,,,,,,,,,,,,,,,,,,,
bootstrap,引导程序,noun,,,,,,,,,,,,,,,,,,,,,,
border,边界,noun,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina convertible mark,波斯尼亚和黑塞哥维那可兑换马克,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bosnian,波斯尼亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Botswana pula,博茨瓦纳普拉,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Bougainville,布干维尔岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bratislava,布拉迪斯拉发,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brazilian real,巴西雷亚尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Brazzaville,布拉柴维尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
breadcrumb,面包屑,noun,,,,,,,,,,,,,,,,,,,,,,
break point,断点,noun,适用于网页设计,,,,,,,,,,,,,,,,,,,,,
breakdown,解析,noun,,,,,,,,,,,,,,,,,,,,,,
breakpoint,断点,noun,适用于网页设计,,,,,,,,,,,,,,,,,,,,,
Breton,布列塔尼,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Brisbane,布里斯班,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Broken Hill,布罗肯希尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
browse,浏览,verb,,,,,,,,,,,,,,,,,,,,,,
browser,浏览器,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brunei,文莱,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brunei dollar,文莱元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Brussels,布鲁塞尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
brute force,暴力密码破解,verb,,,,,,,,,,,,,,,,,,,,,,
brute force,暴力密码破解,noun,,,,,,,,,,,,,,,,,,,,,,
Bucharest,布加勒斯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Budapest,布达佩斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
BuddyPress,BuddyPress,noun,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,布宜诺斯艾利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
buffer,缓冲区,noun,,,,,,,,,,,,,,,,,,,,,,
buffer,缓冲,noun,,,,,,,,,,,,,,,,,,,,,,
bug,代码错误,noun,,,,,,,,,,,,,,,,,,,,,,
built-in,内置,adjective,,,,,,,,,,,,,,,,,,,,,,
Bujumbura,布琼布拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bulgarian,保加利亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bulgarian lev,保加利亚列弗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
bulk,批量,adjective,,,,,,,,,,,,,,,,,,,,,,
bulk action,批量操作,verb,,,,,,,,,,,,,,,,,,,,,,
bulk actions,批量操作,noun,,,,,,,,,,,,,,,,,,,,,,
bullet list,项目符号列表,noun,适用于排版相关内容,,,,,,,,,,,,,,,,,,,,,
bundle,套装组合,noun,,,,,,,,,,,,,,,,,,,,,,
bundle,捆绑销售,noun,,,,,,,,,,,,,,,,,,,,,,
bundle,捆绑,noun,,,,,,,,,,,,,,,,,,,,,,
bundle,搭售,noun,,,,,,,,,,,,,,,,,,,,,,
Burmese,缅甸语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Burmese kyat,缅元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Burundian franc,布隆迪法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Busingen,布辛根,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
button,按钮,noun,,,,,,,,,,,,,,,,,,,,,,
BY,署名,noun,适用于 Creative Commons 创用 CC 授权方式,,,,,,,,,,,,,,,,,,,,,
cache,缓存,noun,,,,,,,,,,,,,,,,,,,,,,
Cairo,开罗,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Calcutta,加尔各答,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
call,调用,verb,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
call,调用,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
call to action,行动号召,noun,,,,,,,,,,,,,,,,,,,,,,
callback,回调,verb,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
callback,回调,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
caller,调用端,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
call-to-action,行动号召,noun,,,,,,,,,,,,,,,,,,,,,,
Cambodian,柬埔寨语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Cambodian riel,柬埔寨瑞尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Cambridge Bay,剑桥湾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
campaign,广告活动,noun,Google 官方译文 (建议采用),,,,,,,,,,,,,,,,,,,,,
Campo Grande,大坎普,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Canadian dollar,加元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Canary,加那利群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Canberra,堪培拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cancun,坎昆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
canvas,编辑区,noun,,,,,,,,,,,,,,,,,,,,,,
capability,权限,noun,以 WordPress 使用这个字汇的实际用途及定义而言，绝大多数的时候是指「权限」。,,,,,,,,,,,,,,,,,,,,,
Cape Verde,佛得角,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cape Verdean escudo,佛得角埃斯库多,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Caracas,加拉加斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
caret,插入符,noun,,,,,,,,,,,,,,,,,,,,,,
carousel,轮播,noun,,,,,,,,,,,,,,,,,,,,,,
carousel view,轮播视图,noun,适用于检视方式名称,,,,,,,,,,,,,,,,,,,,,
Cart,购物车,noun,,,,,,,,,,,,,,,,,,,,,,
